,Year,ID,HouseHoldID,communityID,birth_year,birth_month,birth_day,age,gender,province,city,urban_nbs
0,2011,19403710101,194037101,1940371,1950.0,3.0,14.0,,,Ìì½ò,Ìì½ò,Urban
1,2011,19403710102,194037101,1940371,1950.0,7.0,17.0,,,Ìì½ò,Ìì½ò,Urban
2,2011,19403710201,194037102,1940371,1949.0,10.0,30.0,,,Ìì½ò,Ìì½ò,Urban
3,2011,19403710301,194037103,1940371,1960.0,5.0,12.0,,,Ìì½ò,Ìì½ò,Urban
4,2011,19403710302,194037103,1940371,1963.0,7.0,1.0,,,Ìì½ò,Ìì½ò,Urban
5,2011,19403710401,194037104,1940371,1956.0,7.0,24.0,,,Ìì½ò,Ìì½ò,Urban
6,2011,19403710402,194037104,1940371,1956.0,3.0,4.0,,,Ìì½ò,Ìì½ò,Urban
7,2011,19403710501,194037105,1940371,1962.0,2.0,25.0,,,Ìì½ò,Ìì½ò,Urban
8,2011,19403710502,194037105,1940371,1963.0,4.0,28.0,,,Ìì½ò,Ìì½ò,Urban
9,2011,19403710601,194037106,1940371,1949.0,3.0,23.0,,,Ìì½ò,Ìì½ò,Urban
10,2011,19403710602,194037106,1940371,1950.0,1.0,28.0,,,Ìì½ò,Ìì½ò,Urban
11,2011,19403710701,194037107,1940371,1954.0,8.0,5.0,,,Ìì½ò,Ìì½ò,Urban
12,2011,19403710702,194037107,1940371,1954.0,8.0,6.0,,,Ìì½ò,Ìì½ò,Urban
13,2011,19403710801,194037108,1940371,1952.0,10.0,1.0,,,Ìì½ò,Ìì½ò,Urban
14,2011,19403710802,194037108,1940371,1967.0,2.0,2.0,,,Ìì½ò,Ìì½ò,Urban
15,2011,19403710901,194037109,1940371,1960.0,8.0,21.0,,,Ìì½ò,Ìì½ò,Urban
16,2011,19403710902,194037109,1940371,1959.0,2.0,7.0,,,Ìì½ò,Ìì½ò,Urban
17,2011,19403711001,194037110,1940371,1959.0,1.0,23.0,,,Ìì½ò,Ìì½ò,Urban
18,2011,19403711002,194037110,1940371,1959.0,1.0,23.0,,,Ìì½ò,Ìì½ò,Urban
19,2011,19403711101,194037111,1940371,1951.0,5.0,4.0,,,Ìì½ò,Ìì½ò,Urban
20,2011,19403711102,194037111,1940371,1958.0,11.0,24.0,,,Ìì½ò,Ìì½ò,Urban
21,2011,19403711201,194037112,1940371,1946.0,3.0,19.0,,,Ìì½ò,Ìì½ò,Urban
22,2011,19403711202,194037112,1940371,1943.0,7.0,9.0,,,Ìì½ò,Ìì½ò,Urban
23,2011,19403711301,194037113,1940371,1958.0,4.0,9.0,,,Ìì½ò,Ìì½ò,Urban
24,2011,19403711302,194037113,1940371,1957.0,10.0,21.0,,,Ìì½ò,Ìì½ò,Urban
25,2011,19403711401,194037114,1940371,1957.0,3.0,1.0,,,Ìì½ò,Ìì½ò,Urban
26,2011,19403711402,194037114,1940371,1960.0,2.0,9.0,,,Ìì½ò,Ìì½ò,Urban
27,2011,19403711501,194037115,1940371,1936.0,5.0,6.0,,,Ìì½ò,Ìì½ò,Urban
28,2011,19403711601,194037116,1940371,1960.0,6.0,13.0,,,Ìì½ò,Ìì½ò,Urban
29,2011,19403711701,194037117,1940371,1963.0,3.0,4.0,,,Ìì½ò,Ìì½ò,Urban
30,2011,19403711702,194037117,1940371,1963.0,6.0,29.0,,,Ìì½ò,Ìì½ò,Urban
31,2011,19403711801,194037118,1940371,1967.0,2.0,27.0,,,Ìì½ò,Ìì½ò,Urban
32,2011,19403711802,194037118,1940371,1964.0,8.0,12.0,,,Ìì½ò,Ìì½ò,Urban
33,2011,19403711901,194037119,1940371,1957.0,8.0,16.0,,,Ìì½ò,Ìì½ò,Urban
34,2011,19403711902,194037119,1940371,1956.0,10.0,29.0,,,Ìì½ò,Ìì½ò,Urban
35,2011,19403712001,194037120,1940371,1961.0,5.0,13.0,,,Ìì½ò,Ìì½ò,Urban
36,2011,19403712002,194037120,1940371,1959.0,4.0,30.0,,,Ìì½ò,Ìì½ò,Urban
37,2011,19403712101,194037121,1940371,1965.0,7.0,3.0,,,Ìì½ò,Ìì½ò,Urban
38,2011,19403712102,194037121,1940371,1963.0,11.0,8.0,,,Ìì½ò,Ìì½ò,Urban
39,2011,19403712201,194037122,1940371,1935.0,6.0,10.0,,,Ìì½ò,Ìì½ò,Urban
40,2011,19403712301,194037123,1940371,1957.0,1.0,22.0,,,Ìì½ò,Ìì½ò,Urban
41,2011,19403712302,194037123,1940371,1956.0,7.0,20.0,,,Ìì½ò,Ìì½ò,Urban
42,2011,19403712401,194037124,1940371,1963.0,11.0,28.0,,,Ìì½ò,Ìì½ò,Urban
43,2011,19403712501,194037125,1940371,1963.0,1.0,10.0,,,Ìì½ò,Ìì½ò,Urban
44,2011,19403712502,194037125,1940371,1961.0,9.0,6.0,,,Ìì½ò,Ìì½ò,Urban
45,2011,19403712601,194037126,1940371,1950.0,2.0,2.0,,,Ìì½ò,Ìì½ò,Urban
46,2011,19403712602,194037126,1940371,1948.0,8.0,26.0,,,Ìì½ò,Ìì½ò,Urban
47,2011,19403712701,194037127,1940371,1955.0,5.0,1.0,,,Ìì½ò,Ìì½ò,Urban
48,2011,19403712702,194037127,1940371,1954.0,1.0,10.0,,,Ìì½ò,Ìì½ò,Urban
49,2011,19403712801,194037128,1940371,1960.0,3.0,8.0,,,Ìì½ò,Ìì½ò,Urban
50,2011,19403712802,194037128,1940371,1958.0,2.0,10.0,,,Ìì½ò,Ìì½ò,Urban
51,2011,19403712901,194037129,1940371,1963.0,2.0,14.0,,,Ìì½ò,Ìì½ò,Urban
52,2011,19403712902,194037129,1940371,1963.0,7.0,13.0,,,Ìì½ò,Ìì½ò,Urban
53,2011,19403720101,194037201,1940372,1934.0,1.0,17.0,,,Ìì½ò,Ìì½ò,Urban
54,2011,19403720102,194037201,1940372,1934.0,4.0,24.0,,,Ìì½ò,Ìì½ò,Urban
55,2011,19403720201,194037202,1940372,1953.0,11.0,26.0,,,Ìì½ò,Ìì½ò,Urban
56,2011,19403720202,194037202,1940372,1952.0,4.0,16.0,,,Ìì½ò,Ìì½ò,Urban
57,2011,19403720301,194037203,1940372,1965.0,7.0,14.0,,,Ìì½ò,Ìì½ò,Urban
58,2011,19403720302,194037203,1940372,1968.0,9.0,12.0,,,Ìì½ò,Ìì½ò,Urban
59,2011,19403720401,194037204,1940372,1958.0,3.0,15.0,,,Ìì½ò,Ìì½ò,Urban
60,2011,19403720402,194037204,1940372,1954.0,9.0,15.0,,,Ìì½ò,Ìì½ò,Urban
61,2011,19403720501,194037205,1940372,1952.0,3.0,3.0,,,Ìì½ò,Ìì½ò,Urban
62,2011,19403720502,194037205,1940372,1952.0,9.0,5.0,,,Ìì½ò,Ìì½ò,Urban
63,2011,19403720601,194037206,1940372,1951.0,10.0,13.0,,,Ìì½ò,Ìì½ò,Urban
64,2011,19403720602,194037206,1940372,1948.0,5.0,2.0,,,Ìì½ò,Ìì½ò,Urban
65,2011,19403720701,194037207,1940372,1957.0,8.0,16.0,,,Ìì½ò,Ìì½ò,Urban
66,2011,19403720702,194037207,1940372,1963.0,10.0,26.0,,,Ìì½ò,Ìì½ò,Urban
67,2011,19403720801,194037208,1940372,1960.0,3.0,6.0,,,Ìì½ò,Ìì½ò,Urban
68,2011,19403720802,194037208,1940372,1958.0,3.0,25.0,,,Ìì½ò,Ìì½ò,Urban
69,2011,19403720901,194037209,1940372,1951.0,0.0,0.0,,,Ìì½ò,Ìì½ò,Urban
70,2011,19403720902,194037209,1940372,1953.0,10.0,25.0,,,Ìì½ò,Ìì½ò,Urban
71,2011,19403721001,194037210,1940372,1954.0,12.0,29.0,,,Ìì½ò,Ìì½ò,Urban
72,2011,19403721002,194037210,1940372,1955.0,11.0,23.0,,,Ìì½ò,Ìì½ò,Urban
73,2011,19403721101,194037211,1940372,1951.0,7.0,10.0,,,Ìì½ò,Ìì½ò,Urban
74,2011,19403721102,194037211,1940372,1946.0,5.0,23.0,,,Ìì½ò,Ìì½ò,Urban
75,2011,19403721201,194037212,1940372,1955.0,1.0,3.0,,,Ìì½ò,Ìì½ò,Urban
76,2011,19403721202,194037212,1940372,1955.0,2.0,1.0,,,Ìì½ò,Ìì½ò,Urban
77,2011,19403721301,194037213,1940372,1951.0,2.0,7.0,,,Ìì½ò,Ìì½ò,Urban
78,2011,19403721302,194037213,1940372,1947.0,8.0,1.0,,,Ìì½ò,Ìì½ò,Urban
79,2011,19403721401,194037214,1940372,1947.0,9.0,9.0,,,Ìì½ò,Ìì½ò,Urban
80,2011,19403721402,194037214,1940372,1946.0,12.0,18.0,,,Ìì½ò,Ìì½ò,Urban
81,2011,19403721501,194037215,1940372,1941.0,12.0,19.0,,,Ìì½ò,Ìì½ò,Urban
82,2011,19403721502,194037215,1940372,1946.0,4.0,12.0,,,Ìì½ò,Ìì½ò,Urban
83,2011,19403721601,194037216,1940372,1949.0,10.0,11.0,,,Ìì½ò,Ìì½ò,Urban
84,2011,19403721602,194037216,1940372,1957.0,12.0,2.0,,,Ìì½ò,Ìì½ò,Urban
85,2011,19403721701,194037217,1940372,1951.0,7.0,13.0,,,Ìì½ò,Ìì½ò,Urban
86,2011,19403721702,194037217,1940372,1950.0,5.0,14.0,,,Ìì½ò,Ìì½ò,Urban
87,2011,19403721801,194037218,1940372,1949.0,7.0,19.0,,,Ìì½ò,Ìì½ò,Urban
88,2011,19403721802,194037218,1940372,1949.0,11.0,10.0,,,Ìì½ò,Ìì½ò,Urban
89,2011,19403721901,194037219,1940372,1947.0,6.0,12.0,,,Ìì½ò,Ìì½ò,Urban
90,2011,19403721902,194037219,1940372,1949.0,1.0,11.0,,,Ìì½ò,Ìì½ò,Urban
91,2011,19403730101,194037301,1940373,1945.0,9.0,10.0,,,Ìì½ò,Ìì½ò,Urban
92,2011,19403730102,194037301,1940373,1949.0,12.0,27.0,,,Ìì½ò,Ìì½ò,Urban
93,2011,19403730201,194037302,1940373,1957.0,2.0,0.0,,,Ìì½ò,Ìì½ò,Urban
94,2011,19403730202,194037302,1940373,1958.0,8.0,1.0,,,Ìì½ò,Ìì½ò,Urban
95,2011,19403730301,194037303,1940373,1933.0,12.0,14.0,,,Ìì½ò,Ìì½ò,Urban
96,2011,19403730401,194037304,1940373,1968.0,2.0,16.0,,,Ìì½ò,Ìì½ò,Urban
97,2011,19403730402,194037304,1940373,1966.0,2.0,2.0,,,Ìì½ò,Ìì½ò,Urban
98,2011,19403730501,194037305,1940373,1963.0,6.0,18.0,,,Ìì½ò,Ìì½ò,Urban
99,2011,19403730601,194037306,1940373,1957.0,5.0,25.0,,,Ìì½ò,Ìì½ò,Urban
100,2011,19403730602,194037306,1940373,1956.0,12.0,30.0,,,Ìì½ò,Ìì½ò,Urban
101,2011,19403730701,194037307,1940373,1956.0,10.0,10.0,,,Ìì½ò,Ìì½ò,Urban
102,2011,19403730702,194037307,1940373,1956.0,1.0,7.0,,,Ìì½ò,Ìì½ò,Urban
103,2011,19403730801,194037308,1940373,1964.0,1.0,20.0,,,Ìì½ò,Ìì½ò,Urban
104,2011,19403730802,194037308,1940373,1964.0,9.0,4.0,,,Ìì½ò,Ìì½ò,Urban
105,2011,19403730901,194037309,1940373,1959.0,7.0,1.0,,,Ìì½ò,Ìì½ò,Urban
106,2011,19403731001,194037310,1940373,1963.0,2.0,16.0,,,Ìì½ò,Ìì½ò,Urban
107,2011,19403731002,194037310,1940373,1965.0,1.0,17.0,,,Ìì½ò,Ìì½ò,Urban
108,2011,19403731101,194037311,1940373,1953.0,7.0,27.0,,,Ìì½ò,Ìì½ò,Urban
109,2011,19403731102,194037311,1940373,1952.0,7.0,26.0,,,Ìì½ò,Ìì½ò,Urban
110,2011,19403731201,194037312,1940373,1961.0,3.0,19.0,,,Ìì½ò,Ìì½ò,Urban
111,2011,19403731301,194037313,1940373,1941.0,9.0,30.0,,,Ìì½ò,Ìì½ò,Urban
112,2011,19403731401,194037314,1940373,1959.0,11.0,15.0,,,Ìì½ò,Ìì½ò,Urban
113,2011,19403731402,194037314,1940373,1962.0,7.0,14.0,,,Ìì½ò,Ìì½ò,Urban
114,2011,19403731501,194037315,1940373,1937.0,8.0,25.0,,,Ìì½ò,Ìì½ò,Urban
115,2011,19403731502,194037315,1940373,1937.0,1.0,21.0,,,Ìì½ò,Ìì½ò,Urban
116,2011,19403731601,194037316,1940373,1952.0,5.0,14.0,,,Ìì½ò,Ìì½ò,Urban
117,2011,19403731602,194037316,1940373,1953.0,9.0,29.0,,,Ìì½ò,Ìì½ò,Urban
118,2011,19403731701,194037317,1940373,1943.0,4.0,4.0,,,Ìì½ò,Ìì½ò,Urban
119,2011,19403731801,194037318,1940373,1958.0,1.0,31.0,,,Ìì½ò,Ìì½ò,Urban
120,2011,19403731802,194037318,1940373,1958.0,4.0,16.0,,,Ìì½ò,Ìì½ò,Urban
121,2011,19403731901,194037319,1940373,1954.0,1.0,30.0,,,Ìì½ò,Ìì½ò,Urban
122,2011,19403731902,194037319,1940373,1952.0,3.0,7.0,,,Ìì½ò,Ìì½ò,Urban
123,2011,19403732001,194037320,1940373,1966.0,1.0,20.0,,,Ìì½ò,Ìì½ò,Urban
124,2011,19403732002,194037320,1940373,1965.0,5.0,30.0,,,Ìì½ò,Ìì½ò,Urban
125,2011,19403732101,194037321,1940373,1945.0,7.0,16.0,,,Ìì½ò,Ìì½ò,Urban
126,2011,19403732102,194037321,1940373,1945.0,7.0,10.0,,,Ìì½ò,Ìì½ò,Urban
127,2011,19403732202,194037322,1940373,,,,,,Ìì½ò,Ìì½ò,Urban
128,2011,19403732301,194037323,1940373,1940.0,7.0,1.0,,,Ìì½ò,Ìì½ò,Urban
129,2011,19403732401,194037324,1940373,1954.0,9.0,12.0,,,Ìì½ò,Ìì½ò,Urban
130,2011,19403732402,194037324,1940373,1952.0,5.0,3.0,,,Ìì½ò,Ìì½ò,Urban
131,2011,19403732501,194037325,1940373,1967.0,7.0,12.0,,,Ìì½ò,Ìì½ò,Urban
132,2011,19403732502,194037325,1940373,1966.0,6.0,15.0,,,Ìì½ò,Ìì½ò,Urban
133,2011,19403732601,194037326,1940373,1950.0,12.0,18.0,,,Ìì½ò,Ìì½ò,Urban
134,2011,19403732602,194037326,1940373,1949.0,5.0,18.0,,,Ìì½ò,Ìì½ò,Urban
135,2011,19403732701,194037327,1940373,1953.0,0.0,0.0,,,Ìì½ò,Ìì½ò,Urban
136,2011,19403732702,194037327,1940373,1953.0,5.0,18.0,,,Ìì½ò,Ìì½ò,Urban
137,2011,19403732801,194037328,1940373,1939.0,8.0,28.0,,,Ìì½ò,Ìì½ò,Urban
138,2011,19403732901,194037329,1940373,1938.0,4.0,9.0,,,Ìì½ò,Ìì½ò,Urban
139,2011,19403733001,194037330,1940373,1959.0,1.0,29.0,,,Ìì½ò,Ìì½ò,Urban
140,2011,19403733002,194037330,1940373,1957.0,7.0,26.0,,,Ìì½ò,Ìì½ò,Urban
141,2011,19403733101,194037331,1940373,1930.0,9.0,10.0,,,Ìì½ò,Ìì½ò,Urban
